,acc,loss,val_acc,val_loss
75,0.9985461229946524,0.005328668536608262,0.9132,1.392478502082825
76,0.9989811598075895,0.003618878415476038,0.8629,2.203890768623352
77,0.9988982371794872,0.003985989416464525,0.8635,2.191550507926941
78,0.9988803475935829,0.004194893452509686,0.898,1.6381711854934695
79,0.9987313034188035,0.005164215496486514,0.899,1.6216301259994508
80,0.9990307486312274,0.0033531996247228245,0.9177,1.3228589853286743
81,0.9988141368252271,0.004037069331193242,0.8929,1.7200212652206421
82,0.998730625334046,0.004437861212033858,0.914,1.3834964677810668
83,0.9988141368252271,0.0042722686312802825,0.8866,1.824627611732483
84,0.9990646712987707,0.003095113478849088,0.8982,1.6355719270706177
85,0.998947755211117,0.004203677051119386,0.8961,1.6679283765792847
86,0.998947755211117,0.003702783030071426,0.8663,2.1487960260391237
87,0.9988809460181721,0.0042302409314346435,0.8869,1.814565517616272
88,0.9986972207375735,0.003968084653806288,0.8583,2.2770504526138304
89,0.9986805184393373,0.004801730256575384,0.8544,2.3430777223587036
90,0.9992316942811331,0.002605231208756653,0.8612,2.2348122255325316
91,0.9989978621058258,0.0035449746103253135,0.9053,1.522243401527405
92,0.9986972207375735,0.005602022461289532,0.8388,2.59224172000885
93,0.9989978621058258,0.003324742411173049,0.8693,2.1014885553359983
94,0.9991648850881881,0.0030960344857718005,0.8557,2.317669423866272
95,0.999081373597007,0.0032480630595544033,0.8606,2.2414570810317995
96,0.9985636023516836,0.0052526331709346055,0.8326,2.6910487504959106
97,0.9992316942811331,0.0026823614465678342,0.8539,2.351297493934631
98,0.9990646712987707,0.0032497097047489098,0.8895,1.767583144569397
99,0.9989310528810237,0.0044129626312279,0.8812,1.9104510431289672
